threshold,level,oblast,records
gt_12_hours,hromada,Dnipropetrovska oblast,2482
gt_12_hours,raion,Donetska oblast,1224
gt_12_hours,raion,Zaporizka oblast,283
gt_12_hours,raion,Chernihivska oblast,224
gt_12_hours,raion,Dnipropetrovska oblast,224
gt_12_hours,hromada,Donetska oblast,220
gt_12_hours,raion,Sumska oblast,189
gt_12_hours,raion,Kharkivska oblast,173
gt_12_hours,oblast,Sumska oblast,98
gt_12_hours,oblast,Kharkivska oblast,74
gt_12_hours,oblast,Donetska oblast,62
gt_12_hours,oblast,Poltavska oblast,44
gt_12_hours,oblast,Chernihivska oblast,44
gt_12_hours,raion,Kyivska oblast,21
gt_12_hours,hromada,Zaporizka oblast,20
gt_12_hours,oblast,Kyivska oblast,18
gt_12_hours,hromada,Kharkivska oblast,17
gt_12_hours,oblast,Cherkaska oblast,10
gt_12_hours,oblast,Zaporizka oblast,8
gt_12_hours,raion,Poltavska oblast,6
gt_12_hours,oblast,Dnipropetrovska oblast,6
gt_12_hours,raion,Khersonska oblast,5
gt_12_hours,raion,Zakarpatska oblast,4
gt_12_hours,oblast,Kirovohradska oblast,4
gt_12_hours,oblast,Odeska oblast,4
gt_12_hours,oblast,Luhanska oblast,2
gt_12_hours,oblast,Khersonska oblast,2
gt_12_hours,oblast,Zhytomyrska oblast,2
gt_12_hours,raion,Zhytomyrska oblast,1
gt_24_hours,hromada,Dnipropetrovska oblast,654
gt_24_hours,raion,Donetska oblast,312
gt_24_hours,raion,Zaporizka oblast,40
gt_24_hours,hromada,Donetska oblast,25
gt_24_hours,raion,Dnipropetrovska oblast,22
gt_24_hours,raion,Chernihivska oblast,11
gt_24_hours,oblast,Kharkivska oblast,10
gt_24_hours,raion,Sumska oblast,10
gt_24_hours,raion,Kharkivska oblast,8
gt_24_hours,oblast,Donetska oblast,6
gt_24_hours,hromada,Kharkivska oblast,4
gt_24_hours,oblast,Chernihivska oblast,4
gt_24_hours,oblast,Sumska oblast,4
gt_24_hours,raion,Zakarpatska oblast,4
gt_24_hours,oblast,Luhanska oblast,2
gt_24_hours,hromada,Zaporizka oblast,1
gt_7_days,hromada,Dnipropetrovska oblast,15
gt_7_days,hromada,Kharkivska oblast,4
gt_30_days,hromada,Kharkivska oblast,4
gt_90_days,hromada,Kharkivska oblast,4
